annee,code_insee,secteur,energie,conso_reel_mwh,conso_normal_mwh
2017,78608,RES,ELEC,559.4,572.96
2017,78609,RES,ELEC,3948.49,4041.31
2017,78615,RES,ELEC,2315.74,2360.81
2017,78616,RES,ELEC,6005.82,6155.2
2017,78618,RES,ELEC,2609,2668.92
2017,78620,RES,ELEC,4085.4,4154.39
2017,78621,RES,ELEC,58664.09,60112.03
2017,78623,RES,ELEC,3952.69,4053.97
2017,78624,RES,ELEC,37278.69,38103.24
2017,78638,RES,ELEC,16912.37,17327.47
2017,78640,RES,ELEC,47456.72,47937.18
2017,78642,RES,ELEC,38792.43,39649.59
2017,78643,RES,ELEC,22911.54,23321.2
2017,78644,RES,ELEC,9284.86,9467.39
2017,78646,RES,ELEC,199189.28,203642.97
2017,78647,RES,ELEC,4207.01,4290.64
2017,78650,RES,ELEC,43115.77,43738.41
2017,78653,RES,ELEC,1705.02,1743.6
2017,78655,RES,ELEC,2745.42,2796.29
2017,78668,RES,ELEC,2455.7,2512.55
2017,78672,RES,ELEC,20117.66,20514.03
2017,78674,RES,ELEC,24090.26,24571.46
2017,78677,RES,ELEC,2189,2224.8
2017,78681,RES,ELEC,3387.03,3482.24
2017,78683,RES,ELEC,10281.19,10524
2017,78686,RES,ELEC,35644.01,36286.59
2017,78688,RES,ELEC,43472.54,44676.39
2017,91001,RES,ELEC,1376.39,1403.08
2017,91016,RES,ELEC,15157.48,15511.21
2017,91017,RES,ELEC,5579.5,5711.42
2017,91021,RES,ELEC,33315.2,34273.03
2017,91022,RES,ELEC,522.33,532.91
2017,91027,RES,ELEC,68493.07,69851.75
2017,91035,RES,ELEC,1754.14,1796.72
2017,91037,RES,ELEC,1258.16,1283.49
2017,91038,RES,ELEC,4335,4427.06
2017,91041,RES,ELEC,4403.88,4502.08
2017,91044,RES,ELEC,12826.36,13073.96
2017,91045,RES,ELEC,20886.22,21282.82
2017,91047,RES,ELEC,4317,4410.61
2017,91064,RES,ELEC,17119.62,17475.57
2017,91067,RES,ELEC,462.82,473.01
2017,91069,RES,ELEC,2123.76,2166.78
2017,91075,RES,ELEC,395.25,405.63
2017,91079,RES,ELEC,2285.37,2328.29
2017,91080,RES,ELEC,4203.99,4299.91
2017,91081,RES,ELEC,2684.07,2745.96
2017,91085,RES,ELEC,13139.46,13439.68
2017,91086,RES,ELEC,27001.49,27572.77
2017,91093,RES,ELEC,2705.7,2770.38
2017,91095,RES,ELEC,6664,6806.1
2017,91097,RES,ELEC,15409.39,15740.13
